Payment_id,card_id,customer_id,name_on_card,expiration_date,zipcode
1,5993246423739310,889,Nico,11/11/2024,23882
2,3561879156372340,955,Salim,11/26/2022,15798
3,2196506566766450,435,Ginni,9/21/2024,67749
4,6646695782167510,57,Kennedy,4/7/2024,94613
5,1931621085343830,751,Laurie,6/7/2024,86491
6,1348587385913940,664,Duky,1/24/2024,25360
7,2223461712049190,755,Marlo,1/16/2024,85015
8,8233101494644100,789,Dev,10/10/2024,15127
9,3521454974107970,919,Shamus,11/7/2025,23742
10,3135752473338170,954,Townsend,12/26/2025,53844
11,6580803109928350,32,Yuri,1/6/2026,13313
12,8642182384361680,314,Roxine,2/17/2023,52861
13,6300714486855180,704,Dorotea,11/15/2022,49808
14,6109502439696750,589,Bebe,5/22/2022,51782
15,5680757248177910,295,Clemence,8/6/2025,64661
16,6999571092188220,492,Byran,8/23/2025,79722
17,5205207369874160,147,Jacky,6/27/2025,32816
18,7592066354595290,613,Nollie,10/20/2025,27171
19,2534010166631870,825,Ardath,10/26/2022,78917
20,8440639907391840,948,Chrissie,7/31/2025,88022
21,5131018377227550,904,Marshal,10/7/2024,50904
22,4576764023062830,379,Laure,7/19/2025,33217
23,6621464661078990,23,Chad,12/16/2022,52682
24,7052994424247310,563,Tatiania,5/16/2023,71733
25,5558549241170270,884,Lotti,11/18/2024,66734
26,9115903152441960,827,Mari,2/15/2024,86854
27,4859031684859130,145,Zenia,11/22/2023,35906
28,9050047193693350,540,Shaine,7/13/2022,64958
29,4282700280782490,714,Ortensia,5/12/2023,93130
30,7441609184366090,502,Sim,10/14/2023,66304
31,2653686306908330,604,Shanon,10/20/2025,73513
32,2571443473249990,636,Krisha,4/18/2025,26991
33,7653145951677870,217,Eddi,12/8/2022,45025
34,7935046734339870,639,Bowie,7/28/2023,94482
35,2685266270611860,161,Kitty,11/29/2024,99550
36,7200834092699840,39,Kerr,12/16/2023,15792
37,8345817119106540,290,Elvera,2/11/2026,33239
38,3452477710120830,461,Teddie,4/20/2025,13895
39,7434204081798260,870,Brunhilde,7/1/2024,94350
40,2777833948514320,493,Lanni,1/10/2026,69405
41,1203674300744770,206,Howard,11/30/2023,43717
42,7400062652411900,761,Tessa,6/5/2023,37811
43,3087295483311910,572,Randie,2/12/2025,50943
44,1737055581460110,387,Adolphe,11/7/2024,17937
45,2519374832257820,304,Bertine,2/7/2023,51842
46,3379132320209180,96,Lynnett,10/26/2024,21967
47,9169065781294360,579,Nichole,11/6/2025,65628
48,4206480075944670,686,Ferguson,3/22/2025,97085
49,9601961821671130,616,Kiersten,6/10/2025,85147
50,3334801620174310,465,Nessa,8/28/2022,40825
51,6695521514709690,323,Prinz,10/10/2025,18953
52,6832980932332990,34,Osgood,10/28/2023,37845
53,7977095107901050,424,Vinson,12/20/2024,59383
54,8901668849000000,991,Abigale,2/11/2026,92516
55,5521586489401700,428,Baryram,6/14/2022,77648
56,8503046149025660,583,Booth,7/26/2023,46084
57,8322858652652980,876,Clemence,2/3/2025,22219
58,6362548289397180,817,Marco,6/29/2023,66964
59,2159224370911750,667,Guenna,4/11/2024,65055
60,2965508464356910,297,Gun,6/7/2023,69907
61,4460469440559700,865,Filip,5/17/2023,46110
62,3179207145632870,744,Hildagarde,4/1/2025,82449
63,6762315787716370,944,Gothart,10/22/2023,37459
64,8396312511671260,447,Brannon,3/13/2025,82426
65,3033425556305180,325,Arri,3/28/2024,96828
66,7110430262323210,77,Michaela,5/7/2022,66827
67,8039413868030370,158,Northrup,7/28/2022,56413
68,1576502914716410,535,Rock,11/5/2025,22407
69,2998787287919290,873,Tucker,8/9/2023,77012
70,5150762742240370,877,Demetra,1/16/2025,81041
71,9927844267597400,413,Laney,3/4/2024,92596
72,9906730536498420,259,Taryn,8/7/2022,95588
73,3886323373055510,481,Faun,10/16/2023,74689
74,1412513299215590,564,Lana,1/12/2025,84129
75,5460139663495340,932,Clo,11/21/2023,75054
76,5090803029803630,292,Zebulen,2/1/2023,84943
77,4538211847374770,748,Rosco,3/16/2023,95212
78,2178004406688580,42,Damiano,7/18/2023,60969
79,9792789082463800,485,Jania,10/4/2025,80778
